,doctor_id,name,dep_name,gender,type,phone,salary
0,123308,Crown,Gynecology,male,nurse,13110337849,7000
1,100336,Alison,Pediatrics,male,nurse,18840641153,8000
2,139909,Monroe,Infection,male,doctor,17682071983,16000
3,105759,Praised,Endocrinology,female,doctor,13811753766,40000
4,186386,Henry,Neurosurgery,female,nurse,18864495393,7000
5,122430,Royal,Obstetrics,male,doctor,13847147721,47000
6,163933,Quinn,Hematology,female,nurse,18357323646,6000
7,161897,Questa,Respiratory Medicine,female,nurse,13958551012,5000
8,174589,Olga,Pediatrics,female,doctor,13628068996,18000
9,153472,Luminous,Obstetrics,female,doctor,18705618034,24000
10,110309,Edlyn,Orthopedics,male,nurse,13880570634,10000
11,179105,Eaton,Burns,female,doctor,13916009925,21000
12,165628,Stan,Gynecology,male,nurse,17571341583,8000
13,147111,Bridget,Hepatological Surgery,male,nurse,13670465054,7000
14,192262,Genevieve,Dermatology,male,nurse,18398134183,9000
15,180989,Ambitious,Gynecology,male,nurse,13856284346,7000
16,131287,Tony,Neurosurgery,female,nurse,13122260350,5000
17,193779,Meadow,Hepatological Surgery,female,doctor,19020799886,24000
18,112490,Imogen,Cardiology,female,nurse,18739543979,6000
19,115249,Seymour,Pediatrics,female,nurse,17508918104,9000
20,106986,Hale,Otolaryngolog,male,nurse,17541068350,9000
21,115737,Steward,Gynecology,male,doctor,19035332006,33000
22,168223,Eldon,Obstetrics,male,doctor,13893205966,43000
23,192595,Eliza,Respiratory Medicine,male,nurse,17611966206,8000
24,114732,Hope,Respiratory Medicine,female,doctor,18393556400,27000
25,118028,Wynne,Dermatology,male,doctor,18735013710,34000
26,140476,Rose,Gynecology,female,nurse,13169283559,8000
27,111726,Mirabelle,Neurosurgery,female,nurse,17623111701,10000
28,141648,Healthy,Gastroenterology,male,nurse,19041097386,9000
29,131178,Beth,Hepatological Surgery,female,doctor,17647853090,41000
30,169509,Freeman,Urinary Surgery,male,doctor,17546357535,11000
31,191541,Aileen,Dermatology,female,nurse,13693829832,7000
32,134899,Edan,Gynecology,female,nurse,13604796548,10000
33,101628,Anthea,Neurology,female,doctor,13838888827,50000
34,186802,Chief,Orthopedics,female,doctor,17530219823,13000
35,152745,Nourishing,Urinary Surgery,female,nurse,13900065876,8000
36,111478,Farley,Orthopedics,female,doctor,13880017580,21000
37,185748,Erwin,Hepatological Surgery,female,nurse,18863682400,5000
38,179664,Rory,Pediatrics,male,doctor,13864150703,36000
39,161257,Rhea,Urinary Surgery,female,nurse,13839349698,10000
40,162811,Ramsey,Infection,female,doctor,17539161738,44000
41,149887,Brittany,Otolaryngolog,male,nurse,13917688641,9000
42,154987,Helena,Gynecology,male,nurse,13133736643,6000
43,114830,Swift,Dermatology,female,doctor,18365434796,21000
44,137832,Alma,Hematology,female,nurse,18372440431,8000
45,146735,Errol,Urinary Surgery,male,doctor,17660867020,31000
46,101081,Luke,Orthopedics,male,doctor,18310601291,24000
47,166951,Rachel,Urinary Surgery,male,doctor,18870574295,32000
48,195551,Orlantha,Obstetrics,female,doctor,17510274984,43000
49,106402,Berta,Infection,male,doctor,18719139898,48000
50,168191,Marta,Gynecology,female,nurse,13193887181,6000
51,102910,Elton,Dermatology,male,doctor,18822386091,26000
52,171688,Emery,Gastroenterology,male,nurse,13813510653,5000
53,157911,Teresa,Neurology,male,doctor,17654879857,37000
54,119095,Ivar,Gastroenterology,male,nurse,18883072059,8000
55,124042,Ardent,Burns,female,doctor,13831093954,23000
56,153674,Millicent,Dermatology,female,doctor,17518327328,15000
57,101755,Douglas,Pediatrics,male,nurse,18783404171,9000
58,134089,Karen,Endocrinology,male,doctor,18305877845,12000
59,109522,Long-Beard,Hematology,female,nurse,13696567191,8000
60,153678,Stranger,Neurology,male,nurse,13637115822,9000
61,103474,Lancelot,Gastroenterology,male,nurse,18735557306,10000
62,180325,Gideon,Dermatology,female,doctor,18730108550,23000
63,132063,Shirley,Infection,male,doctor,13898154656,44000
64,122749,Kate,Cardiology,female,nurse,13672611007,10000
65,156349,Valley,Pediatrics,male,doctor,13928888116,35000
66,142062,Thelma,General Surgery,male,doctor,18893438522,39000
67,142686,Halsey,Hepatological Surgery,female,doctor,13658333077,27000
68,119647,Guide,Stomatology,female,nurse,18741762745,6000
69,185203,Norris,Hematology,female,nurse,18779071255,6000
70,104828,Maureen,Hepatological Surgery,male,doctor,18746947843,12000
71,131188,Hartley,Stomatology,male,nurse,18890016332,7000
72,161522,Davin,Gynecology,female,nurse,13154208230,6000
73,196461,Rosemary,Pediatrics,male,doctor,19044288920,30000
74,156103,Dependable,Respiratory Medicine,female,nurse,13909471564,10000
75,128598,Moira,Stomatology,female,doctor,18396101719,26000
76,153504,Walter,Urologic,female,doctor,13961720394,30000
77,166377,Life,General Surgery,female,doctor,13150133057,49000
78,122409,Ellen,Cardiology,female,doctor,13812539681,13000
79,118886,Honour,Stomatology,male,nurse,17533025743,9000
80,169447,Hadden,Respiratory Medicine,male,nurse,13920381479,6000
81,179794,Zachary,Gastroenterology,female,nurse,18395752637,5000
82,117181,Gwen,Dermatology,female,doctor,17597270244,21000
83,178027,God-like,Neurology,male,nurse,19030541312,10000
84,119050,Gardener,Obstetrics,female,nurse,19006330311,9000
85,159826,Justin,Cardiology,male,doctor,18399566623,22000
86,145924,Marcus,Respiratory Medicine,female,nurse,13838141251,8000
87,169685,Agnes,Dermatology,male,nurse,13160465233,5000
88,108619,Jill,Obstetrics,female,doctor,17671199884,23000
89,101708,Kyle,Obstetrics,female,doctor,13633711080,37000
90,139688,Nicole,General Surgery,female,nurse,19067142903,6000
91,104817,Beatrice,Burns,female,nurse,19051000741,7000
92,118421,Danielle,Dermatology,male,nurse,18372091666,10000
93,177495,Isaiah,Endocrinology,male,doctor,13909035536,35000
94,151588,Land,Gastroenterology,female,doctor,13925175802,36000
95,156220,Russell,Stomatology,female,nurse,13134317293,7000
96,189896,Harland,Endocrinology,male,doctor,13694610750,36000
97,149300,Wolf,Hepatological Surgery,female,nurse,19046929684,7000
98,174422,Donald,Dermatology,female,nurse,18367360458,7000
99,182743,Imagine,Pediatrics,female,doctor,18321422118,42000
100,197844,Silver,Neurology,male,doctor,13973979243,15000
101,130202,Blair,General Surgery,male,nurse,19097938389,5000
102,183331,Blueberry,General Surgery,female,nurse,19059463533,5000
103,138527,Melinda,Urinary Surgery,male,doctor,13938314433,43000
104,146069,Tina,Hepatological Surgery,male,nurse,19046965798,6000
105,138050,Leslie,Hematology,female,doctor,17685066390,50000
106,192258,Garret,Obstetrics,male,doctor,13928281578,45000
107,119662,Percy,Hematology,male,nurse,18857870760,5000
108,169931,Power,Dermatology,male,doctor,13147103059,26000
109,151528,Trina,Hematology,male,nurse,18739834789,9000
110,127749,Uriah,Dermatology,female,doctor,18381791557,18000
111,169378,Sharon,Orthopedics,female,nurse,17632648230,5000
112,171051,Irvin,Dermatology,male,nurse,19097102885,10000
113,158272,Shamus,Burns,male,doctor,18397329009,41000
114,168816,Denley,Urinary Surgery,female,doctor,13687024817,50000
115,134813,Malcolm,Urologic,female,nurse,18891265865,5000
116,119357,Halbert,Pediatrics,female,nurse,18356978804,8000
117,117900,Beata,Gastroenterology,male,doctor,13816294342,33000
